Book_05_-_The_Omens.txt:1	spa	Libro quinto, que trata de los agüeros y pronósticos que estos naturales tomaban de algunas aves, animales, y sabandijas, para adivinar las cosas futuras.
Book_05_-_The_Omens.txt:1	eng	Fifth book, here is told, that which was the omen, that they took to be an omen, they, the Mexica.
Book_05_-_The_Omens.txt:2	spa	Primer capítulo, del agüero que tomaban cuando alguno oía de noche ahullar alguna bestia fiera, o llorar como vieja, y de lo que decían los agoreros en este caso.
Book_05_-_The_Omens.txt:2	eng	First chapter, where it is told, the omen, that they believed, when at night, someone heard, that cried, some beast, or, like some woman crying, and finally that which they said, the daysign-readers, who were told of as being wise.
Book_05_-_The_Omens.txt:3	spa	En los tiempos pasados antes que viniesen los Españoles a esta tierra, los naturales de ella tenian muchos agüeros por donde adivinaban las cosas futuras.
Book_05_-_The_Omens.txt:8	eng	... It is on you wished, the man our lord: not become a man the beast: you are poor, it is already like this you were born: it is thus, it is your day, that is not [...]

Book_05_-_The_Omens.txt:13	eng	Also with that, they thought it an omen: when at someone screeched, the huactli: that as they said, two ways it spoke: that sometimes good, sometimes not good.
Book_05_-_The_Omens.txt:16	spa	A ellos se pasa, cuando quizás en algun lugar en el monte, dentro de un desfiladero, dentro del desierto, en medio del bosque, en un matorral, dentro de árboles, y si los pochteca [fueron] los viajeros, así les pasó, se rió el huactli a ellos, dijeron:

Book_05_-_The_Omens.txt:20	eng	And if somewhere on them in the night, somewhere under a tree, or at the mouth of a gorge, they [...] their staffs, on which they represented their god: Yiacateuctli.
Book_05_-_The_Omens.txt:29	eng	In the dead of night, when nobody speaks aloud, is when it is heard.

Book_05_-_The_Omens.txt:34	spa	Y dijo el vasallo, a quien se había hecho ver: No te dejaré, es que te he tomado.
Book_05_-_The_Omens.txt:39	spa	Y si no fuera bueno, vio carbón, o un trapo, así revela sólo pobreza, miseria, merecía.

Book_05_-_The_Omens.txt:39	spa	Cuarto capítulo, donde se habla del agüero, que tomaron por agüero, cuando el tecolote ulula.

Book_05_-_The_Omens.txt:47	spa	Y cuando escuchaban que ulalaba y que cantaba, luego le dijeron los varones: Vete pues, tienes muy hundidos los ojos, te acostaste con tu madre.

Book_05_-_The_Omens.txt:55	spa	También con eso, se tomó como agüero el conejo, cuando entra a la casa de alguien—así dicen los campesinos, la gente del campo—entonces su casa se va a asolar.

Book_05_-_The_Omens.txt:68	nhi	Huan in ipatl noyohqui, cequihtoa non amo cualli ehecatl: ihcuac calaqui itich techan, nozo mopilhuatia ompa: quihtoa, axan miquiz in chane: porque, noyohqui oquihtoayah, non amo nilugar, amo nimi intich calmeh, itich techan: nemi cachi cualli mihmilla, nopalihtic, zacayihtic, yen cohtla campa oquizaya.
Book_05_-_The_Omens.txt:69	nhi	Noyohqui oquinimiliaya, oquixhuicaya in tlacaticolotl, itoca Tezcatlipoca: huan cuando omiguixiya, oquihtoayah: omiguix Tezcatlipoca.

Book_05_-_The_Omens.txt:76	eng	It is house frogs, maybe somewhere in the mouth of a wall: the roof of the house that he placed them the enemy: they croaked, they continued croaking, like that they spoke.

Book_05_-_The_Omens.txt:83	eng	Twelfth chapter: where it is said: that another omen there was: that its name was: bundle of ashes.
Book_05_-_The_Omens.txt:86	eng	The person who is not strong-hearted, who is not supported in the heart, just a fearful man, something scared him: in his presence, it is said: there it frightens him, it takes him away: with that he will quickly die, or something bad will be found at him.
Book_05_-_The_Omens.txt:89	eng	Thirteenth chapter: where are told: the other omens, that at night showed themselves.

Book_05_-_The_Omens.txt:90	eng	With that also, they considered an omen appeared before them: its name "[...]", or "[...]": it is said in Acolhuacan "[...]": like this they were named.
Book_05_-_The_Omens.txt:97	eng	Omen about the linnet
Book_05_-_The_Omens.txt:98	eng	The linnet, it is a bird, like the wood-pecker: but far in the forest is its home.
Book_05_-_The_Omens.txt:99	eng	And when at someone it cries, it was considered an omen: they said it is not good time, that we have come: there is something on it we will jump.

Book_05_-_The_Omens.txt:100	eng	The omen about the coyote.
Book_05_-_The_Omens.txt:103	eng	Here end the omens; that they considered them, here New Spain people.
